grcode1,name1,detail of group 1,grcode2,name2,detail of group 2,grcode3,name3,detail of group 3,grcode4,name4,detail of group 4,no,generic name,syn name,detail of generic name,ประเภทยา,dosage,ED,คำแนะนำ,เงื่อนไข,คำเตือนและข้อควรระวัง,หมายเหตุ,Footnote,link file,Code ฉ.67,edit
5,Infections ,,2,Antifungal drugs ,,,,,,,,6,Amphotericin B,,,,sterile pwdr (เฉพาะ conventional formulations),ค,,ใช้สำหรับการรักษา invasive fungal infections,,,,,S,
5,Infections ,,2,Antifungal drugs ,,,,,,,,7,Fluconazole,,,,sterile sol,ค,,ใช้เป็นยาแทน (alternative drug) ของ amphotericin B ในการรักษา cryptococcosis หรือ candidiasis เมื่อผู้ป่วยไม่สามารถใช้ amphotericin B ได้,,,,,S,
5,Infections ,,2,Antifungal drugs ,,,,,,,,8,Flucytosine (5-fluorocytosine),,,ยากำพร้า,oral form,ง,,ใช้เสริมฤทธิ์ยาต้านเชื้อราอื่น ๆ ในผู้ป่วย Cryptococcal meningitis,,,,,S,
5,Infections ,,2,Antifungal drugs ,,,,,,,,9,Itraconazole,,,,oral sol,ง,,"1. ใช้กับผู้ป่วยที่รับประทานยาแคปซูลไม่ได้  
2. เป็นยาแทน (alternative drug) สำหรับโรคติดเชื้อ talaromycosis, histoplasmosis, cryptococcosis, vaginal candidiasis และ dermatomycoses
3. ใช้สำหรับป้องกัน invasive fungal infection ในผู้ป่วยเด็กที่มี profound, protracted neutropenia เช่น ผู้ป่วย Allogeneic Hematopoietic Stem Cell Transplantation ช่วงpre-engraftment หรือมี graft versus host disease หรือ ผู้ป่วย acute myeloid leukemia  เป็นต้น",,,,,S,
5,Infections ,,2,Antifungal drugs ,,,,,,,,10,Liposomal amphotericin B ,,,,sterile pwdr,จ(2),,ใช้รักษา invasive fungal infections (ยกเว้น aspergillosis) ในผู้ป่วยที่ไม่สามารถทนต่อยา conventional amphotericin B โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3,,,,,S,
5,Infections ,,2,Antifungal drugs ,,,,,,,,11,Micafungin sodium,,,,sterile pwdr (เฉพาะ 50 mg),จ(2),,ใช้รักษา Invasive candidiasis ที่ดื้อต่อยา fluconazole หรือไม่สามารถใช้ conventional amphotericin B ได้ โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3,,,,,S,
5,Infections ,,2,Antifungal drugs ,,,,,,,,12,Posaconazole,,,,tab (เฉพาะ 100 mg),จ(2),,ใช้รักษา invasive mucormycosis ในผู้ป่วยที่ไม่ตอบสนองหรือไม่สามารถทนต่อยา amphotericin B ได้ โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3,,,,,C5,ยกเลิกหมายเหตุ
5,Infections ,,2,Antifungal drugs ,,,,,,,,13,Voriconazole,,,,"tab, sterile pwdr",จ(2),,"1. ใช้รักษา invasive aspergillosis โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3
2. ใช้รักษา invasive fungal infection จากเชื้อ Fusarium spp., Scedosporium spp. และ Trichosporon spp. โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3",,,,,S,
5,Infections ,,3,Antiviral drugs ,,1,Non-antiretrovirals,Aciclovir ชนิด  topical (Aciclovir cream) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากมีประสิทธิผลต่ำและไม่แนะนำให้ใช้,,,,1,Aciclovir ,Acyclovir,,,"tab, oral susp, oral susp (hosp)",ก,,,,ไม่แนะนำให้ใช้ในเด็กที่เป็นโรคอีสุกอีใส (Chicken pox) ชนิดไม่รุนแรง,,,S,
5,Infections ,,3,Antiviral drugs ,,1,Non-antiretrovirals,Aciclovir ชนิด  topical (Aciclovir cream) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากมีประสิทธิผลต่ำและไม่แนะนำให้ใช้,,,,2,Aciclovir sodium ,Acyclovir sodium,,,"sterile pwdr, sterile sol",ค,,"1. ใช้สำหรับการติดเชื้อไวรัส varicella - zoster และ  herpes simplex  ในผู้ป่วยที่มีภูมิคุ้มกันบกพร่องและในทารกแรกเกิด
2. ใช้สำหรับการติดเชื้อไวรัส varicella-zoster และ herpes simplex ที่มีการแพร่กระจาย หรือเป็นการติดเชื้อของอวัยวะภายใน หรือในผู้ป่วยที่ใช้ยารับประทานไม่ได้  
3. ใช้กับทารกแรกเกิดที่มารดาป่วยเป็นโรคไข้อีสุกอีใสในช่วง 5 วันก่อนคลอดและในช่วง 2 วันหลังคลอด 
เพื่อป้องกันโรคอีสุกอีใสในทารกแรกเกิด (neonatal varicella)
4. ใช้ในกรณีพิเศษตามคำแนะนำของแพทย์ผู้เชี่ยวชาญด้านโรคติดเชื้อ",,,,,S,
5,Infections ,,3,Antiviral drugs ,,1,Non-antiretrovirals,Aciclovir ชนิด  topical (Aciclovir cream) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากมีประสิทธิผลต่ำและไม่แนะนำให้ใช้,,,,3,Oseltamivir phosphate,,,,"cap, dry syr",ค,,"1. ใช้สำหรับการรักษาโรคไข้หวัดใหญ่ ในผู้ที่มีความเสี่ยงต่อการดำเนินโรครุนแรง หรือแพร่กระจายเชื้อให้ผู้ป่วยที่มีความเสี่ยงต่อการดำเนินโรครุนแรง 
2. ใช้สำหรับรักษาโรคไข้หวัดใหญ่ที่มีอาการมาไม่เกิน 48 ชั่วโมง",,ไม่แนะนำให้ใช้เพื่อการป้องกันก่อนการสัมผัส หรือป้องกันหลังการสัมผัส,,,S,
5,Infections ,,3,Antiviral drugs ,,1,Non-antiretrovirals,Aciclovir ชนิด  topical (Aciclovir cream) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากมีประสิทธิผลต่ำและไม่แนะนำให้ใช้,,,,4,Cidofovir,,,ยากำพร้า,sterile sol,ง ,,"1. ใช้กับผู้ป่วยที่มีภาวะติดเชื้อ adenovirus ในเลือดหรืออวัยวะอื่นที่มีอาการรุนแรงที่ไม่เป็นผู้ป่วยระยะสุดท้าย (terminally ill) โดยมีอาการทางคลินิกที่เข้าได้ ร่วมกับการตรวจวินิจฉัยข้อใดข้อหนึ่ง ดังต่อไปนี้
1.1 การตรวจพบ adenovirus ในเลือดด้วยวิธีทางอนูพันธุศาสตร์ (molecular detection)
1.2 การตรวจพบ adenovirus จากสิ่งส่งตรวจของอวัยวะที่มีอาการสงสัย ด้วยวิธีทางอนูพันธุศาสตร์ (molecular detection) เช่น ปัสสาวะ สารคัดหลั่งจากทางเดินหายใจส่วนล่าง น้ำล้างจากถุงลมปอด (bronchoalveolar lavage fluid)
1.3 การตรวจพบลักษณะทางพยาธิวิทยาที่เข้าได้กับการติดเชื้อ adenovirus (cytopathological change) หรือการตรวจพบไวรัสจากการตรวจด้วยกล้อง electron microscope
2. ใช้ในกรณีพิเศษตามคำแนะนำของแพทย์ผู้เชี่ยวชาญด้านโรคติดเชื้อ",,,,,S,
5,Infections ,,3,Antiviral drugs ,,1,Non-antiretrovirals,Aciclovir ชนิด  topical (Aciclovir cream) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากมีประสิทธิผลต่ำและไม่แนะนำให้ใช้,,,,5,Ganciclovir sodium,,,,sterile pwdr,ง,,"1. ใช้สำหรับ cytomegalovirus disease 
2. ใช้ในกรณีพิเศษตามคำแนะนำของแพทย์ผู้เชี่ยวชาญด้านโรคติดเชื้อ
",,,,,S,
5,Infections ,,3,Antiviral drugs ,,1,Non-antiretrovirals,Aciclovir ชนิด  topical (Aciclovir cream) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากมีประสิทธิผลต่ำและไม่แนะนำให้ใช้,,,,6,Peramivir,,,ยากำพร้า,sterile sol,ง ,,ใช้กับผู้ป่วยโรคไข้หวัดใหญ่ที่มีอาการรุนแรงและไม่สามารถใช้ยาชนิดกิน หรือชนิดสูดพ่นได้,,,,,S,
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,1,Efavirenz ,EFV,,,"cap, tab",ก,,,,,,,S,
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,2,Lamivudine,3TC,,,"tab, syr",ก,,,,,,,S,
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,3,Nevirapine ,NVP,,,susp,ก,,,,,,,"C2, C5","ปรับรูปแบบ, ยกเลิกหมายเหตุ"
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,4,Tenofovir disoproxil fumarate,TDF,,,tab,ก,,,,,,,S,
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,5,Tenofovir Disoproxil Fumarate + Emtricitabine,TDF+FTC,,,tab (300 + 200 mg),ก,,,,,,,S,
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,6,Tenofovir Disoproxil Fumarate + Emtricitabine + Efavirenz,TDF + FTC + EFV,,,tab (300 + 200 + 600 mg),ก,,,,,,,S,
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,7,Tenofovir disoproxil fumarate + Lamivudine + Dolutegravir sodium ,TDF + 3TC + DTG,,,tab (300 + 300 + 50 mg),ก,,,,ให้ใช้ยานี้ในกรณีที่ไม่สามารถใช้ยาสูตร TAF/FTC/DTG ได้,,,C5,ปรับหมายเหตุ
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,8,Tenofovir alafenamide + Emtricitabine ,TAF + FTC,,,tab (25 + 200),ก,,,,,,,A,
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,9,Tenofovir Alafenamide + Emtricitabine + Dolutegravir,TAF + FTC + DTG,,,tab (25 + 200 + 50),ก,,,,"ยาเม็ดสูตรผสม Tenofovir Alafenamide + Emtricitabine + Dolutegravir ขนาด 25 + 200 + 50 mg ที่ต่อรองได้เม็ดละไม่เกิน 20 บาท(ราคารวมภาษีมูลค่าเพิ่ม) กำหนด
ยืนราคา 730 วัน นับจากวันที่ประกาศมีผลบังคับใช้ เงื่อนไข และรายละเอียดอื่น ๆ ให้ดูตามแบบเสนอยาในเว็บไซต์ http://ndi.fda.moph.go.th/drug_national/
",,,A,
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,10,Zidovudine,AZT,,,"cap, oral sol",ก,,,,,,,C5,ปรับลำดับ
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,11,Zidovudine + Lamivudine,AZT+3TC,,,tab (เฉพาะ 300+150 mg),ก,,,,,,,C5,ปรับลำดับ
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,10,Zidovudine + Lamivudine + Nevirapine,AZT + 3TC+ NVP,,,tab (เฉพาะ 250+150+200 mg),ก,,,,จะนำออกจากบัญชี ในรอบการพิจารณาถัดไป เนื่องจากปัจจุบันอยู่ระหว่างการเปลี่ยนผ่านการใช้ยาตามแนวทางการตรวจวินิจฉัย รักษา และป้องกันการติดเชื้อเอชไอวี ประเทศไทย ปี 2563/2564,,,O,ตัดออก
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,12,Rilpivirine ,RPV,,,tab,ข,,,,ใช้ยานี้ตามแนวทางการตรวจวินิจฉัย รักษา และป้องกันการติดเชื้อเอชไอวี ประเทศไทย ฉบับปัจจุบัน,,,C5,"ปรับหมายเหตุ, ปรับลำดับ"
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,12,Atazanavir sulfate,ATV,,,cap,ค,,,,จะนำออกจากบัญชี ในรอบการพิจารณาถัดไป เนื่องจากปัจจุบันอยู่ระหว่างการเปลี่ยนผ่านการใช้ยาตามแนวทางการตรวจวินิจฉัย รักษา และป้องกันการติดเชื้อเอชไอวี ประเทศไทย ปี 2563/2564,,,O,ตัดออก
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,13,Dolutegravir,DTG,,,tab (เฉพาะ 50 mg),ค,,,,"1.ใช้ยานี้ตามแนวทางการตรวจวินิจฉัย รักษา และป้องกันการติดเชื้อเอชไอวี ประเทศไทย ฉบับปัจจุบัน
2.ผู้ป่วยเดิมที่ดื้อยาควรปรึกษาแพทย์ผู้เชี่ยวชาญก่อนสั่งใช้ยานี้
",,,C5,ปรับหมายเหตุ
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,14,Dolutegravir,DTG,,,orodispersible tab,ค,,เป็นสูตรยาต้านเอชไอวีสำหรับรักษาในเด็กอายุตั้งแต่ 4 สัปดาห์ขึ้นไปและมีน้ำหนักตัวมากกว่าหรือเท่ากับ 3 กิโลกรัม,,,,,A,
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,15,Lopinavir + Ritonavir ,LPV+RTV,,,"tab, oral sol",ค,,,,,,,C5,"ยกเลิกหมายเหตุ, ปรับลำดับ"
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,16,Ritonavir,RTV,,,"tab, oral sol",ค,,,,,,,C5,ปรับลำดับ
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,17,Abacavir,ABC,,,"tab, oral sol",ค,,"1. ใช้กับผู้ป่วยที่ไม่สามารถใช้ยา tenofovir หรือเกิดผลข้างเคียงที่ไม่สามารถใช้ยา tenofovir ได้ (ยา tenofovir ผลข้างเคียงที่สำคัญคือ ผลต่อไต และผลต่อ bone density)
2.  ใช้เป็น nucleoside reverse transcriptase inhibitor (NRTI) ในสูตรยาต้านไวรัสดื้อยา ในกรณีที่การรักษาล้มเหลวจากเชื้อดื้อยาต้านไวรัสสูตรก่อน โดยต้องมีผลการตรวจ genotypic resistance ที่ไวกับยา abacavir และเชื้อไวต่อยาอื่นในสูตรอย่างน้อย 2 ชนิด
3.  ใช้กับเด็กที่ติดเชื้อเอชไอวีอายุ 3 เดือนขึ้นไป",,"1. ผู้ป่วยที่ได้รับยา abacavir อาจมีภาวะ hypersensitivity ได้โดยเฉพาะใน 6 สัปดาห์แรก อาการส่วนใหญ่มักจะมีหลายระบบร่วมกัน หากพบอาการอย่างน้อย 2 ข้อดังต่อไปนี้
1.1 ไข้
1.2 ผื่น
1.3 คลื่นไส้อาเจียน ท้องเสีย ปวดท้อง
1.4 อ่อนเพลียมาก ปวดกล้ามเนื้อ ปวดข้อ (arthralgia)
1.5 หอบเหนื่อย ไอ เจ็บคอ
ให้หยุดยา abacavir ทันที และห้ามให้ยา abacavir อีก (ห้าม rechallenge) เพราะอาจจะทำให้ผู้ป่วยเสียชีวิตได้
2. การตรวจ HLA B*5701 ขึ้นกับดุลพินิจของแพทย์
3. ในกรณีที่ไม่ได้ใช้ยาสูตร dolutegravir based ผู้ป่วยที่จะใช้ยานี้เป็นสูตรแรกควรมีค่า baseline HIV-1 RNA viral load น้อยกว่า 100,000 copies/ml (เนื่องจากยามีประสิทธิภาพน้อยกว่า tenofovir เมื่อให้ในผู้ป่วยที่มี baseline HIV-1 RNA viral load มากกว่า 100,000 copies/ml) หรือเป็นไปตามแนวทางการตรวจวินิจฉัย รักษา และป้องกันการติดเชื้อเอชไอวี ประเทศไทย ฉบับปัจจุบัน

",,,"C2, C5","เพิ่มรูปแบบ, ปรับหมายเหตุ, ปรับลำดับ"
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,18,Abacavir + Lamivudine,ABC +3TC,,,tab (600 + 300 mg),ค,,"1. ใช้กับผู้ป่วยที่ไม่สามารถใช้ยา tenofovir หรือเกิดผลข้างเคียงที่ไม่สามารถใช้ยา tenofovir ได้ (ยา tenofovir ผลข้างเคียงที่สำคัญคือ ผลต่อไต และผลต่อ bone density)
2. ใช้เป็น nucleoside reverse transcriptase inhibitor (NRTI) ในสูตรยาต้านไวรัสดื้อยา ในกรณีที่การรักษาล้มเหลวจากเชื้อดื้อยาต้านไวรัสสูตรก่อน โดยต้องมีผลการตรวจ genotypic resistance ที่ไวกับยา abacavir และเชื้อไวต่อยาอื่นในสูตรอย่างน้อย 2 ชนิด
3. ใช้กับเด็กที่ติดเชื้อเอชไอวีอายุ 3 เดือนขึ้นไป",,"1. ผู้ป่วยที่ได้รับยา abacavir อาจมีภาวะ hypersensitivity ได้โดยเฉพาะใน 6 สัปดาห์แรก อาการส่วนใหญ่มักจะมีหลายระบบร่วมกัน หากพบอาการอย่างน้อย 2 ข้อดังต่อไปนี้
1.1 ไข้
1.2 ผื่น
1.3 คลื่นไส้อาเจียน ท้องเสีย ปวดท้อง
1.4 อ่อนเพลียมาก ปวดกล้ามเนื้อ ปวดข้อ (arthralgia)
1.5 หอบเหนื่อย ไอ เจ็บคอ
ให้หยุดยา abacavir ทันที และห้ามให้ยา abacavir อีก (ห้าม rechallenge) เพราะอาจจะทำให้ผู้ป่วยเสียชีวิตได้
2. การตรวจ HLA B*5701 ขึ้นกับดุลพินิจของแพทย์
3. ในกรณีที่ไม่ได้ใช้ยาสูตร dolutegravir based ผู้ป่วยที่จะใช้ยานี้เป็นสูตรแรกควรมีค่า baseline HIV-1 RNA viral load น้อยกว่า 100,000 copies/ml (เนื่องจากยามีประสิทธิภาพน้อยกว่า tenofovir เมื่อให้ในผู้ป่วยที่มี baseline HIV-1 RNA viral load มากกว่า 100,000 copies/ml) หรือเป็นไปตามแนวทางการตรวจวินิจฉัย รักษา และป้องกันการติดเชื้อเอชไอวี ประเทศไทย ฉบับปัจจุบัน

",,,C5,"ปรับหมายเหตุ, ปรับลำดับ"
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,19,Darunavir,DRV,,,"tab (เฉพาะ 300, 600 และ 800 as base)",ค,,ใช้รักษาโรคติดเชื้อเอชไอวีที่ดื้อต่อยาสูตรพื้นฐาน และสูตรที่สอง โดยเป็นไปตามแนวทางการตรวจวินิจฉัย รักษา และป้องกันการติดเชื้อเอชไอวี ประเทศไทย ฉบับปัจจุบัน,,,,,"C4, C5","ปรับเงื่อนไข, ปรับลำดับ"
5,Infections ,,3,Antiviral drugs ,,2,Antiretrovirals,ยากลุ่มนี้เป็นยาตามนโยบายเอดส์แห่งชาติของกรมควบคุมโรค สำนักงานประกันสังคม สำนักงานหลักประกันสุขภาพแห่งชาติ และกรมบัญชีกลาง,,,,19,Raltegravir,RAL,,,tab (เฉพาะ 400 mg),จ(2),,"1. ใช้รักษาโรคติดเชื้อเอชไอวีที่ดื้อต่อยาสูตรพื้นฐาน และสูตรที่สอง ในกรณีที่ไม่สามารถเข้าถึงยา DTG ได้ โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3
2. ใช้ในหญิงตั้งครรภ์ที่มีความเสี่ยงสูงทั้ง 2 กลุ่ม ในกรณีที่ไม่สามารถเข้าถึงยา DTG ได้ โดยมีเงื่อนไขดังนี้ 
    2.1 กลุ่มที่ 1 หญิงตั้งครรภ์ที่ไม่เคยได้รับยาต้านเอชไอวีมาก่อน และจะเริ่มยาต้านไวรัสหลังอายุครรภ์
         32 สัปดาห์ โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3
    2.2 กลุ่มที่ 2 หญิงตั้งครรภ์ที่เคยได้รับยาต้านเอชไอวีมาก่อนแต่ระดับไวรัสในพลาสมา (plasma viral load) ที่ 
          อายุครรภ์มากกว่า 32 สัปดาห์ >1,000 copies/mL โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียด
          ในภาคผนวก 3
",,จะนำออกจากบัญชี เมื่อยา dolutegravir มี availability เพียงพอแล้ว เนื่องจากปัจจุบันอยู่ระหว่างการเปลี่ยนผ่านการใช้ยาตามแนวทางการตรวจวินิจฉัย รักษา และป้องกันการติดเชื้อเอชไอวี ประเทศไทย ปี 2563/2564,,,O,ตัดออก
